"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r"
1,2,37,"folder/matchedM003SR.png",5,1.50642845,1,2,2,2,1,0.947916667,"Selected",-0.302360135,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,36
1,2,38,"folder/matchedM024IN.png",4,1.155590781,1,2,1,2,1,0.947916667,"Selected",-0.622460044,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,37
1,2,39,"folder/matchedM072.png  ",2,1.916018216,1,1,1,1,1,0.947916667,"Selected",0.071344454,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,38
1,2,40,"folder/matchedM017IN.png",4,2.325669046,1,1,1,1,1,0.947916667,"Selected",0.445104757,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,39
1,2,42,"folder/matchedM006IN.png",3,2.274928935,1,1,2,1,1,0.947916667,"Selected",0.398810114,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,41
1,2,43,"folder/matchedM019IN.png",4,1.196835351,1,4,1,4,1,0.947916667,"Selected",-0.584829014,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,42
1,2,44,"folder/matchedM008.png  ",1,1.671310705,1,2,2,2,1,0.947916667,"Selected",-0.151923624,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,43
1,2,45,"folder/matchedM067IN.png",3,1.824070961,1,2,2,2,1,0.947916667,"Selected",-0.012547074,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,44
1,2,46,"folder/matchedM001SR.png",6,2.044946541,1,3,1,3,1,0.947916667,"Selected",0.188977048,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,45
1,2,47,"folder/matchedM020.png  ",2,1.354818644,1,1,1,1,1,0.947916667,"Selected",-0.440687029,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,46
1,2,48,"folder/matchedM002IN.png",3,1.785336065,1,1,2,1,1,0.947916667,"Selected",-0.047888309,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,47
